,"Propinsi, Kab/Kota","Kecamatan, Desa/Kel",Alamat,Koordinat
44,"JAWA TIMUR, KAB. BONDOWOSO","WONOSARI, JUMPONG",JUMPONG,"-7.9243932, 113.8787366"
45,"JAWA TIMUR, KAB. BONDOWOSO","TLOGOSARI, KEMBANG",KEMBANG,"-8.0036643, 113.954858"
46,"JAWA TIMUR, KAB. BONDOWOSO","TLOGOSARI, TLOGOSARI",TLOGOSARI,"-8.00194367, 113.94719205"
47,"JAWA TIMUR, KAB. BONDOWOSO","BONDOWOSO, PEJATEN",PEJATEN,"-7.9065173, 113.8560569"
48,"JAWA TIMUR, KAB. BONDOWOSO","BONDOWOSO, DABASAH",RE MARTADINATA VI,"-7.9167274, 113.8260023"
49,"JAWA TIMUR, KAB. BONDOWOSO","CURAHDAMI, CURAHDAMI",KEL CURAHDAMI,"-7.9129959, 113.7873446"
50,"JAWA TIMUR, KAB. GRESIK","TAMBAK, TAMBAK",DSN TAMBAK TENGAH,"-5.7309226, 112.649156"
51,"JAWA TIMUR, KAB. BONDOWOSO","CURAHDAMI, PONCOGATI",DUSUN KRAJAN,"-7.9055032, 113.7986305"
52,"JAWA TIMUR, KAB. BONDOWOSO","BINAKAL, BARATAN",DUSUN MESJID,"-7.9145872, 113.8149368"
53,"JAWA TIMUR, KAB. BONDOWOSO","MAESAN, SUCOLOR",DUSUN SUCO,"-8.0337105, 113.7358084"
54,"JAWA TIMUR, KAB. BONDOWOSO","MAESAN, TANAHWULAN",DUSUN SELATAN TENGGIR,"-8.0237411, 113.7617819"
55,"JAWA TIMUR, BONDOWOSO","PUJER, SUKO KERTO",SUKOKERTO,"-8.0044422, 113.8861723"
56,"JAWA TIMUR, KAB. BONDOWOSO","PUJER, MANGLI",MANGLI TENGAH,"-7.9680735, 113.8896997"
57,"JAWA TIMUR, KAB. BONDOWOSO","WONOSARI, KAPURAN",KAPURAN,"-7.89104997, 113.90044487"
58,"JAWA TIMUR, KAB. BONDOWOSO","CERMEE, BERCAK",KRAJAN,"-7.904245, 113.811026666667"
59,"JAWA TIMUR, KAB. BONDOWOSO","MAESAN, SUMBERSARI",DUSUN KRAJAN I,"-8.027742, 113.7812123"
60,"JAWA TIMUR, KAB. BONDOWOSO","MAESAN, SUMBER PAKEM",DUSUN PASAR,"-8.04957287, 113.79853266"
61,"JAWA TIMUR, KAB. BONDOWOSO","TAPEN, CINDOGO",CINDOGO,"-7.88318697, 113.8987183"
62,"JAWA TIMUR, KAB. BONDOWOSO","TAPEN, TAPEN",POSONG,"-7.85323438, 113.93007953"
63,"JAWA TIMUR, KAB. BONDOWOSO","SUKOSARI, NOGOSARI",NOGOSARI,"-7.913473, 113.9497433"
64,"JAWA TIMUR, KAB. BONDOWOSO","TAPEN, MRAWAN",MRAWAN,"-7.86203319, 113.9366521"
65,"JAWA TIMUR, KAB. BONDOWOSO","TAPEN, CINDOGO",DUSUN KRAJAN BARU,"-7.8734755, 113.90505096"
66,"JAWA TIMUR, KAB. GRESIK","CERME, CERME KIDUL",CERME KIDUL,"-7.2361673, 112.5644607"
67,"JAWA TIMUR, KAB. BONDOWOSO","SUMBERWRINGIN, TEGALJATI",PINANG PAHIT,"-7.9546648, 113.9447661"
68,"JAWA TIMUR, KAB. BONDOWOSO","MAESAN, PUJER BARU",DUSUN RABE,"-8.03089055, 113.74115371"
69,"JAWA TIMUR, KAB. BONDOWOSO","TLOGOSARI, SULEK",SULEK,"-8.0053565, 113.9538324"
70,"JAWA TIMUR, KAB. BONDOWOSO","PUJER, MASKUNING KULON",MASKUNING KULON,"-7.98103304, 113.89189489"
71,"JAWA TIMUR, KAB. BONDOWOSO","TENGGARANG, KAJAR",KAJAR,"-7.93610091, 113.84419158"
72,"JAWA TIMUR, KAB. GRESIK","MENGANTI, SETRO",SETRO,"-7.29340166666667, 112.612423333333"
73,"JAWA TIMUR, KAB. BONDOWOSO","TLOGOSARI, TROTOSARI",TROTOSARI,"-7.9506898, 113.9497433"
74,"JAWA TIMUR, KAB. BONDOWOSO","TLOGOSARI, PATEMON",PATEMON,"-7.96926333333333, 113.908665"
75,"JAWA TIMUR, KAB. BONDOWOSO","TENGGARANG, TENGGARANG",TENGGARANG,"-7.9139304, 113.8534543"
76,"JAWA TIMUR, KAB. BONDOWOSO","WONOSARI, PASAREJO",PASAREJO,"-7.9068460687995, 113.903707349673"
77,"JAWA TIMUR, KAB. BONDOWOSO","TLOGOSARI, TLOGOSARI",TLOGOSARI,"-7.99214059, 113.92545291"
78,"JAWA TIMUR, KAB. BONDOWOSO","PUJER, MASKUNING KULON",MASKUNING KULON,"-7.99009906, 113.89077909"
79,"JAWA TIMUR, KAB. BONDOWOSO","CERMEE, RAMBAN KULON",KRAJAN I,"-7.9047948, 113.8064872"
80,"JAWA TIMUR, KAB. MALANG","NGAJUM, KESAMBEN",JL MAWAR,"-8.06276612, 112.57032162"
81,"JAWA TIMUR, KAB. BONDOWOSO","WONOSARI, PASAREJO",PASAREJO,"-7.90813138, 113.88849397"
82,"JAWA TIMUR, KAB. BONDOWOSO","WONOSARI, WONOSARI",WONOSARI,"-7.87601237, 113.89396549"
83,"JAWA TIMUR, KAB. BONDOWOSO","WONOSARI, WONOSARI",WONOSARI,"-7.8758107, 113.8934662"
84,"JAWA TIMUR, KAB. BONDOWOSO","SUKOSARI, SUKOSARI LOR",SUKOSARI LOR,"-7.9512326, 113.9642026"
85,"JAWA TIMUR, KAB. BONDOWOSO","TAMANAN, TAMANAN",DUSUN TAMANAN BARAT,"-8.0159674, 113.8194257"
86,"JAWA TIMUR, KAB. BONDOWOSO","TAPEN, CINDOGO",CINDOGO,"-7.87322345, 113.9157501"
87,"JAWA TIMUR, KAB. BONDOWOSO","WRINGIN, SUMBERMALANG",DUSUN SEMPOL,"-7.8482753, 113.7611418"
88,"JAWA TIMUR, KAB. BONDOWOSO","MAESAN, SUCOLOR",DUUSN SUCO,"-8.0374898, 113.7381807"
89,"JAWA TIMUR, KAB. BONDOWOSO","MAESAN, MAESAN",MAESAN,"-8.02221567, 113.77458565"
90,"JAWA TIMUR, KAB. BONDOWOSO","CERMEE, BERCAK ASRI",BERCAK ASRI,"-7.78158666666667, 114.048663333333"
91,"JAWA TIMUR, KAB. BONDOWOSO","SUKOSARI, PECALONGAN",PECALONGAN,"-7.95580036472529, 113.941398421302"
92,"JAWA TIMUR, KAB. BONDOWOSO","TLOGOSARI, KEMBANG",KEMBANG,"-8.0036643, 113.954858"
93,"JAWA TIMUR, KAB. BONDOWOSO","TENGGARANG, KAJAR",KAJAR,"-7.94035807, 113.84203282"
94,"JAWA TIMUR, KAB. BONDOWOSO","TEGALAMPEL, SEKARPUTIH",SEKARPUTIH,"-7.89548166666667, 113.832215"
95,"JAWA TIMUR, KAB. BONDOWOSO","TLOGOSARI, TLOGOSARI",TLOGOSARI,"-7.99712767, 113.93444123"
96,"JAWA TIMUR, KAB. BONDOWOSO","WONOSARI, TUMPENG",TUMPENG,"-7.9348953, 113.9112432"
97,"JAWA TIMUR, KAB. BOJONEGORO","SUKOSEWU, KLEPEK",KRAJAN,"-7.2558178, 111.92748148"
98,"JAWA TIMUR, KAB. BONDOWOSO","CURAHDAMI, JETIS",KARANG TENGAH,"-7.95309553, 113.79870091"
99,"JAWA TIMUR, KAB. BONDOWOSO","CURAHDAMI, CURAHPOH",LUMBUNG,"-7.9174013, 113.7898112"
100,"JAWA TIMUR, KAB. BONDOWOSO","CURAHDAMI, CURAHPOH",CURAHPOH,"-7.9224648, 113.7767897"
101,"JAWA TIMUR, KAB. BONDOWOSO","MAESAN, PENANGGUNGAN",DUSUN GUNUNG SARI,"-8.0164791, 113.7742953"
102,"JAWA TIMUR, KAB. BONDOWOSO","WRINGIN, BANYUWULU",BANYUWULU,"-7.8269405, 113.7735092"
103,"JAWA TIMUR, KAB. BONDOWOSO","MAESAN, PENANGGUNGAN",DUSUN GUNUNG SARI,"-8.0312859, 113.7754342"
104,"JAWA TIMUR, KAB. BONDOWOSO","TAMANAN, TAMANAN",DUSUN KIDUL SAWAH BARAT,"-8.0203029, 113.8242384"
105,"JAWA TIMUR, KAB. BONDOWOSO","TENGGARANG, KONCER KIDUL",DUSUN KRAJAN,"-7.93724060989916, 113.82380258292"
106,"JAWA TIMUR, KAB. BONDOWOSO","TENGGARANG, KESEMEK",KASEMEK,"-7.9553878, 113.8724161"
107,"JAWA TIMUR, KAB. BOJONEGORO","SUKOSEWU, SIDOREJO",SIDOREJO,"-7.22825852841068, 111.912174696063"
108,"JAWA TIMUR, KAB. BOJONEGORO","KAPAS, BENDO",BENDO,"-7.23157264, 111.87155442"
109,"JAWA TIMUR, KAB. MALANG","DONOMULYO, DONOMULYO",DONOMULYO,"-8.2910579, 112.4434885"
110,"JAWA TIMUR, KAB. LUMAJANG","SUKODONO, URANGGANTUNG",KRAJAN III,"-8.123678, 113.2779666"
111,"JAWA TIMUR, KAB. LUMAJANG","TEMPEH, SUMBERJATI",DUSUN KRAJAN BARAT Telp :-,"-8.1977462, 113.1622096"
112,"JAWA TIMUR, KAB. LUMAJANG","PASIRIAN, PASIRIAN",DUSUN KEBONAN Telp :-,"-8.2120971, 113.1123778"
113,"JAWA TIMUR, LUMAJANG","KEDUNGJAJANG, KEDUNGJAJANG",DUSUN DARUNGAN KIDUL,"-8.05786166666667, 113.237406666667"
114,"JAWA TIMUR, KAB. LUMAJANG","KLAKAH, KEBONAN",DSN CLARAK,"-7.9931024, 113.2485665"
115,"JAWA TIMUR, BANGKALAN","TANJUNG BUMI, BUNGKENG",DSN. MANDELAN,"-6.93680046, 113.07901427"
116,"JAWA TIMUR, KAB. PASURUAN","LEKOK, PASINAN",KRAJAN  II    .,"-7.6768834, 112.9887261"
117,"JAWA TIMUR, KAB. JEMBER","SILO, PACE",DUSUN KRAJAN,"-8.27633, 113.826256666667"
118,"JAWA TIMUR, KAB. TRENGGALEK","PULE, PULE",DUSUN KRAJAN,"-8.1197238612235, 111.56623369734"
119,"JAWA TIMUR, KAB. JEMBER","SUKORAMBI, JUBUNG",JL. MLINJO DARUNGAN,"-8.2022186, 113.6403645"
120,"JAWA TIMUR, MAGETAN","MAOSPATI, NGUJUNG",DESA NGUJUNG,"-7.59443686343729, 111.462923884392"
121,"JAWA TIMUR, MAGETAN","KARTOHARJO, KARTOHARJO",KARTOHARJO,"-7.5251272, 111.4801776"
122,"JAWA TIMUR, KAB. TUBAN","PALANG, KARANGAGUNG",DUSUN KARANGAGUNG TENGAH,"-6.9000195, 112.166308"
123,"JAWA TIMUR, KAB. PONOROGO","PULUNG, SINGGAHAN",DUKUH KRAJAN,"-7.87603405, 111.65353904"
124,"JAWA TIMUR, KOTA PASURUAN","GADINGREJO, KARANGKETUG",JL JENDRAL AHMAD YANI,"-7.630125, 112.875968333333"
125,"JAWA TIMUR, KAB. PONOROGO","JETIS, MOJOMATI",DUKUH MOJOMATI II,"-7.9493436, 111.5032967"
126,"JAWA TIMUR, KAB. GRESIK","TAMBAK, KEPUHLEGUNDI",DSN. LEGUNDI,"-5.7304098, 112.676805"
127,"JAWA TIMUR, KAB. GRESIK","BENJENG, LUNDO",LUNDO,"-7.29415253, 112.46722314"
128,"JAWA TIMUR, LAMONGAN","BABAT, GEMBONG",GEMBONG,"-7.0993375, 112.2200939"
129,"JAWA TIMUR, KAB. TUBAN","PALANG, TEGALBANG",DSN. KRAJAN INDAH,"-6.91809598356485, 112.106547513977"
130,"JAWA TIMUR, KAB. BANGKALAN","KONANG, DURIN BARAT",DSN. KLOBUR,"-7.0343281, 112.9887261"
131,"JAWA TIMUR, KAB. PASURUAN","PURWOSARI, KERTOSARI",DSN. SUMBERSUKO,"-7.7983236, 112.7476846"
132,"JAWA TIMUR, KOTA BLITAR","SUKOREJO, TLUMPU",JL JATI NO 215,"-8.11297, 112.14959"
133,"JAWA TIMUR, KAB. PASURUAN","LEKOK, ROWOGEMPOL",MANDING,"-7.68994345329702, 112.988548446447"
134,"JAWA TIMUR, KAB. BOJONEGORO","BALEN, MAYANGKAWIS",MAYANGKAWIS,"-7.2302982, 111.9565341"
135,"JAWA TIMUR, KAB. LAMONGAN","KALITENGAH, SUGIHWARAS",DEPEK,"-7.01044286, 112.42660338"
136,"JAWA TIMUR, MAGETAN","KARAS, GINUK",,"-7.57948006, 111.3462996"
137,"JAWA TIMUR, KAB. PONOROGO","JENANGAN, JENANGAN",DUKUH GOGOKALANG,"-7.8221891, 111.5484836"
138,"JAWA TIMUR, KAB. MAGETAN","PANEKAN, SIDOWAYAH",DSN SETUGU,"-7.604775, 111.336805"
139,"JAWA TIMUR, KAB. MAGETAN","KARTOHARJO, SUKOWIDI",SUKOWIDI,"-7.5477546, 111.4944755"
140,"JAWA TIMUR, KOTA BATU","JUNREJO, TLEKUNG",GANGSIRAN PUTUK,"-7.9351131, 112.5496526"
141,"JAWA TIMUR, JOMBANG","JOGOROTO, SUMBERMULYO",DSN. SUMBERMULYO,"-7.55308, 112.253333333333"
142,"JAWA TIMUR, KAB. JEMBER","PATRANG, JEMBERLOR",JL. MERPATI,"-8.14839627, 113.70422339"
143,"JAWA TIMUR, KAB. TUBAN","SOKO, SANDINGROWO",DSN SUNDULAN,"-7.12043797597289, 111.967969508842"
144,"JAWA TIMUR, KAB. PROBOLINGGO","KRAKSAAN, ALASSUMUR KULON",DUSUN MASJID,"-7.76040233, 113.45651754"
145,"JAWA TIMUR, KOTA PASURUAN","PANGGUNGREJO, PETAMANAN",JL DR WAHIDIN SH NO 89,"-7.65660613, 112.90392973"
146,"JAWA TIMUR, KAB. PASURUAN","REJOSO, SAMBIREJO",BUDUG,"-7.676755, 112.936703333333"
147,"JAWA TIMUR, KAB. PASURUAN","PURWODADI, PURWODADI",PARELEGI,"-7.81562936, 112.71720609"
148,"JAWA TIMUR, KAB. JOMBANG","DIWEK, CEWENG",CEWENG,"-7.58358133491129, 112.235665284097"
149,"JAWA TIMUR, KOTA SURABAYA","KREMBANGAN, KEMAYORAN",GRESIK PPI LANGGAR 16,"-7.233941, 112.7268541"
150,"JAWA TIMUR, KAB. LAMONGAN","SUGIO, DALIWANGUN",WANGUN,"-7.21061166666667, 112.288225"
151,"JAWA TIMUR, KOTA KEDIRI","PESANTREN, TOSAREN",JL. CAKARWESI RAYA,"-7.85547587, 112.03413964"
152,"JAWA TIMUR, KAB. BONDOWOSO","BINAKAL, SUMBER TENGAH",DUSUN TAMBIRITAN,"-7.8942166, 113.7772278"
153,"JAWA TIMUR, KAB. PASURUAN","REMBANG, ORO-OROBULU",DSN DADAPAN,"-7.65760555, 112.792993583333"
154,"JAWA TIMUR, KAB. GRESIK","SIDAYU, RANDUBOTO",RANDUBOTO,"-6.9995499, 112.5768441"
155,"JAWA TIMUR, KAB. PONOROGO","NGRAYUN, BAOSAN KIDUL",DUKUH KRAJAN,"-8.1479251, 111.3982662"
156,"JAWA TIMUR, KAB. PONOROGO","SIMAN, NGABAR",JL. SUNAN GUNUNG JATI,"-7.9134422, 111.4722111"
157,"JAWA TIMUR, KOTA BATU","JUNREJO, PENDEM",SEKAR PUTIH,"-7.8939516, 112.5784779"
158,"JAWA TIMUR, KAB. BANYUWANGI","SINGOJURUH, SUMBERBARU",DSN PAELOAN,"-8.2687211, 114.1951966"
159,"JAWA TIMUR, KAB. MAGETAN","PLAOSAN, SIDOMUKTI",DAWUHAN,"-7.68378099, 111.27610124"
160,"JAWA TIMUR, KAB. PONOROGO","BABADAN, KERTOSARI",JL. CINDEWILIS,"-7.86112635, 111.4793902"
161,"JAWA TIMUR, TULUNGAGUNG","BESUKI, KEBOIRENG",DSN. SOIRENG,"-8.21740166666667, 111.761468333333"
162,"JAWA TIMUR, KOTA BATU","BUMIAJI, GIRIPURNO",SUMBERSARI,"-7.85880041308701, 112.553564300761"
163,"JAWA TIMUR, KOTA KEDIRI","KOTA, KAMPUNG DALEM",JL. BRIGJEN KATAMSO GG. VI NO. 16,"-7.8284479, 112.011308"
164,"JAWA TIMUR, KAB. BOJONEGORO","KEDUNGADEM, BALONGCABE",DUSUN BALONGCABE,"-7.24965666666667, 111.999748333333"
165,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, TLOGOWARU",JL SEKARSARI INDAH NO.106,"-8.039065807045944, 112.65067272571072"
166,"JAWA TIMUR, KOTA PASURUAN","GADINGREJO, KARANGKETUG",JL GATOT SUBROTO,"-7.63425718, 112.87782187"
167,"JAWA TIMUR, KAB. PASURUAN","PASREPAN, TEMPURAN",DUSUN KEJURON UTARA,"-7.81914333333333, 112.834935"
168,"JAWA TIMUR, KAB. LAMONGAN","NGIMBANG, LAMONGREJO",LENGKONG,"-7.3436728, 112.2173513"
169,"JAWA TIMUR, KAB. BOJONEGORO","MALO, SUMBEREJO",DSN JETIS,"-7.09996819496155, 111.706463098526"
170,"JAWA TIMUR, KAB. SUMENEP","KOTA SUMENEP, BANGSELOK",JL TAMAN SISWA NO 18,"-7.01100449621066, 113.856399287403"
171,"JAWA TIMUR, KAB. BOJONEGORO","KAPAS, BAKALAN",DUSUN NGAGLIK,"-7.1789528, 111.9275176"
172,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOSARI 3/24,"-7.2718232, 112.7618757"
173,"JAWA TIMUR, KAB. MAGETAN","BENDO, KINANDANG",KINANDANG,"-7.62940293643624, 111.457908824086"
174,"JAWA TIMUR, KAB. PASURUAN","WONOREJO, SAMBISIRAH",DUSUN SAMBISIRAH BARAT,"-7.7096395, 112.816326"
175,"JAWA TIMUR, KAB. BONDOWOSO","BOTOLINGGO, PENANG",PENANG,"-7.7088852, 114.0173238"
176,"JAWA TIMUR, KAB. BOJONEGORO","BOJONEGORO, SUKOREJO",JL. BASUKI RAHMAD GG. ASPOL 38 A,"-7.16285432, 111.89272921"
177,"JAWA TIMUR, KAB. BOJONEGORO","DANDER, SUMBERARUM",SUMBER ARUM,"-7.27316364, 111.8532582"
178,"JAWA TIMUR, KAB. BANYUWANGI","SRONO, PARIJATAH KULON",DUSUN MELIK,"-8.35230596, 114.23802747"
179,"JAWA TIMUR, KAB. PACITAN","BANDAR, JERUK",BENDO,"-7.9555171, 111.2440742"
180,"JAWA TIMUR, KAB. PASURUAN","POHJENTREK, SUSUKAN REJO",DUSUN PILANG,"-7.68845076, 112.88897081"
181,"JAWA TIMUR, KAB. PONOROGO","NGRAYUN, BAOSAN LOR",DUKUH NGEMBEL,"-8.0943405, 111.4345185"
182,"JAWA TIMUR, KAB. BANYUWANGI","MUNCAR, KEDUNGRINGIN",DSN. TRATAS,"-8.4568691, 114.3324717"
183,"JAWA TIMUR, KAB. BANYUWANGI","LICIN, PAKEL",DSN SADANG,"-8.1948417, 114.224355"
184,"JAWA TIMUR, KAB. MAGETAN","KARANGREJO, SAMBIREMBE",SAMBIREMBE,"-7.5690928, 111.4309704"
185,"JAWA TIMUR, KAB. BANGKALAN","GEGER, KATOL BARAT",DSN. BETAMBAK,"-6.9985387, 112.9803828"
186,"JAWA TIMUR, KAB. PONOROGO","SOOKO, SURU",DUKUH GUNUNG TUKUL,"-8.0473663, 111.3502694"
187,"JAWA TIMUR, KAB. BOJONEGORO","SUMBEREJO, MARGOAGUNG",DUSUN NGLANDEAN,"-7.1780671, 112.0349147"
188,"JAWA TIMUR, KAB. PASURUAN","NGULING, WOTGALIH",DUSUN PEJATEN,"-7.72991166666667, 113.0499"
189,"JAWA TIMUR, KAB. GRESIK","SANGKAPURA, SIDOGEDUNGBATU",DSN. BATUSENDI,"-5.8093097, 112.7336478"
190,"JAWA TIMUR, KAB. PASURUAN","NGULING, WOTGALIH",DUSUN PEJATEN,"-7.731085, 113.05053"
191,"JAWA TIMUR, KAB. PONOROGO","BALONG, PURWOREJO",JL. TIRTOSARI,"-7.93453757185489, 111.431725770235"
192,"JAWA TIMUR, KAB. PASURUAN","LEKOK, PASINAN",SEMONGKRONG TIMUR,"-7.6753928, 112.9482211"
193,"JAWA TIMUR, KAB. BOJONEGORO","GONDANG, JARI",DUSUN SAMBONG,"-7.4092191, 111.81315619"
194,"JAWA TIMUR, BOJONEGORO","KAPAS, TANJUNGHARJO",DUSUN TANDINGORO,"-7.1999625, 111.8882731"
195,"JAWA TIMUR, KAB. BOJONEGORO","MALO, DUKOHLOR",DUKOH LOR,"-7.15731834, 111.66358775"
196,"JAWA TIMUR, KAB. BOJONEGORO","PADANGAN, NGASINAN",NGASINAN,"-7.18346296, 111.60679677"
197,"JAWA TIMUR, KAB. SIDOARJO","TULANGAN, KEPADANGAN",KEPADANGAN,"-7.4833594, 112.6443657"
198,"JAWA TIMUR, KAB. BANYUWANGI","KABAT, PONDOKNONGKO",DUSUN. KEDAWUNG,"-8.260354, 114.3547124"
199,"JAWA TIMUR, KAB. PONOROGO","NGRAYUN, MRAYAN",DUKUH PAKEL,"-8.1237005, 111.3405813"
200,"JAWA TIMUR, KAB. BOJONEGORO","TAMBAKREJO, SUKOREJO",DSN PLIMPING,"-7.27150627, 111.59787001"
201,"JAWA TIMUR, KAB. PONOROGO","BADEGAN, KAPURAN",DUKUH SUKOSARI,"-7.8804349, 111.3613017"
202,"JAWA TIMUR, PACITAN","KEBONAGUNG, KLESEM",SALAM,"-8.2622431, 111.1680631"
203,"JAWA TIMUR, KAB. GRESIK","SIDAYU, RANDUBOTO",TANJUNG SARI,"-6.9998634, 112.5768441"
204,"JAWA TIMUR, KAB. PACITAN","BANDAR, PETUNGSINARANG",KETRO,"-8.06527666666667, 111.228981666667"
205,"JAWA TIMUR, KAB. PACITAN","PUNUNG, KEBONSARI",TROSOBO,"-8.06335317, 111.08431114"
206,"JAWA TIMUR, KAB. PONOROGO","SAWOO, TUMPUK",DUKUH SUMBER,"-8.028755, 111.5526364"
207,"JAWA TIMUR, KAB. BANYUWANGI","GAMBIRAN, GAMBIRAN",DUSUN KRAJAN 2,"-8.3926009, 114.1463413"
